second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
96,91,1.0,128.65057800081559,211.05366700066952,222.9982700009714,qwen7b-npu4=24;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=21
97,91,1.0,135.72864099842263,183.39274900063174,189.0408639992529,qwen7b-npu4=21;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=23
98,102,1.0,105.7537400010915,182.40011400121148,217.59121699869866,qwen7b-npu4=26;qwen7b-npu5=27;qwen7b-npu6=25;qwen7b-npu7=24
99,92,1.0,111.35472400201252,191.4583389989275,220.26768300202093,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=22
100,90,1.0,130.15883800107986,209.3138669988548,227.59272800249164,qwen7b-npu4=24;qwen7b-npu5=21;qwen7b-npu6=22;qwen7b-npu7=23
101,92,1.0,127.24222999895574,184.39962599950377,236.96299500079476,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=24
102,99,1.0,110.5293789987627,178.41161000251304,191.3081479979155,qwen7b-npu4=25;qwen7b-npu5=25;qwen7b-npu6=26;qwen7b-npu7=23
103,98,1.0,106.68497599908733,179.518166998605,182.67384600039804,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=26;qwen7b-npu7=25
104,87,1.0,137.6672430014878,210.28931199907674,217.35612499833223,qwen7b-npu4=24;qwen7b-npu5=21;qwen7b-npu6=21;qwen7b-npu7=21
105,99,1.0,124.84464599765488,164.07042299761088,178.13456899966695,qwen7b-npu4=21;qwen7b-npu5=25;qwen7b-npu6=28;qwen7b-npu7=25
106,97,1.0,128.14410500141094,179.08263400022406,190.84089500029222,qwen7b-npu4=27;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=25
107,96,1.0,116.39785499937716,166.92950099968584,171.6722689998278,qwen7b-npu4=25;qwen7b-npu5=23;qwen7b-npu6=25;qwen7b-npu7=23
108,89,1.0,133.72264899953734,182.17737300074077,214.1587369987974,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=19
109,95,1.0,109.8044040008972,192.1631229997729,196.939432000363,qwen7b-npu4=22;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=25
110,91,1.0,133.50014800016652,183.1733980034187,193.8024230003066,qwen7b-npu4=24;qwen7b-npu5=18;qwen7b-npu6=24;qwen7b-npu7=25
111,91,1.0,137.71930299844826,179.88564899860648,217.23316499992507,qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=21;qwen7b-npu7=22
112,90,1.0,131.50429600136704,191.8894909977098,232.07510499923956,qwen7b-npu4=21;qwen7b-npu5=25;qwen7b-npu6=24;qwen7b-npu7=20
113,91,1.0,128.95127999945544,188.87687399910646,225.05578200070886,qwen7b-npu4=27;qwen7b-npu5=19;qwen7b-npu6=22;qwen7b-npu7=23
114,89,1.0,133.60014899808448,192.35703400045168,205.82984599968768,qwen7b-npu4=23;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=18
115,96,1.0,113.84248900139937,207.67391700064763,225.2174629975343,qwen7b-npu4=22;qwen7b-npu5=25;qwen7b-npu6=22;qwen7b-npu7=27
116,90,1.0,130.10686800043914,194.54962800227804,204.12523499908275,qwen7b-npu4=18;qwen7b-npu5=26;qwen7b-npu6=23;qwen7b-npu7=23
117,89,1.0,135.9167320006236,216.0066469987214,235.3534439971554,qwen7b-npu4=25;qwen7b-npu5=20;qwen7b-npu6=22;qwen7b-npu7=22
118,89,1.0,131.2943440025265,188.02560800031642,216.9271029997617,qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=23
119,96,1.0,131.3327650022984,174.06670300260885,185.83604500236106,qwen7b-npu4=25;qwen7b-npu5=24;qwen7b-npu6=23;qwen7b-npu7=24
