second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
49,97,1.0,120.03402699701837,183.19480799982557,190.97500600037165,qwen7b-npu3=3;qwen7b-npu4=22;qwen7b-npu5=24;qwen7b-npu6=25;qwen7b-npu7=23
50,98,1.0,116.44726500162506,183.43670099784504,204.72187900304561,qwen7b-npu3=2;qwen7b-npu4=27;qwen7b-npu5=22;qwen7b-npu6=24;qwen7b-npu7=23
51,92,1.0,122.73205300152767,210.68627500062576,218.87363499990897,qwen7b-npu3=4;qwen7b-npu4=22;qwen7b-npu5=23;qwen7b-npu6=23;qwen7b-npu7=20
52,90,1.0,129.33962299939594,175.82270499769947,186.72347000028822,qwen7b-npu3=3;qwen7b-npu4=19;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=23
53,97,1.0,130.60388099984266,182.60206499689957,184.50726700029918,qwen7b-npu3=1;qwen7b-npu4=24;qwen7b-npu5=24;qwen7b-npu6=24;qwen7b-npu7=24
54,97,1.0,120.41725800008862,179.23566399986157,189.04183399718022,qwen7b-npu3=1;qwen7b-npu4=26;qwen7b-npu5=22;qwen7b-npu6=23;qwen7b-npu7=25
55,101,1.0,120.85395100075402,164.82512800212135,181.13953599822707,qwen7b-npu4=22;qwen7b-npu5=28;qwen7b-npu6=24;qwen7b-npu7=27
56,92,1.0,124.3578619978507,174.92414899970754,196.82844199996907,qwen7b-npu3=4;qwen7b-npu4=26;qwen7b-npu5=24;qwen7b-npu6=17;qwen7b-npu7=21
57,89,1.0,134.81315600074595,194.9058789978153,214.48207800131058,qwen7b-npu3=4;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=19;qwen7b-npu7=24
58,96,1.0,128.47846699878573,191.35732799986727,216.18474799834075,qwen7b-npu3=1;qwen7b-npu4=22;qwen7b-npu5=21;qwen7b-npu6=31;qwen7b-npu7=21
59,92,1.0,134.0069219986617,183.7634319999779,218.6734829992929,qwen7b-npu3=3;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=17;qwen7b-npu7=26
60,95,1.0,121.44477499896311,179.0608040028019,182.2593630022311,qwen7b-npu3=5;qwen7b-npu4=23;qwen7b-npu5=23;qwen7b-npu6=22;qwen7b-npu7=22
61,93,1.0,127.87888399907388,197.64724600099726,221.33934900193708,qwen7b-npu3=4;qwen7b-npu4=21;qwen7b-npu5=21;qwen7b-npu6=24;qwen7b-npu7=23
62,98,1.0,122.25912999929278,178.78686300173285,182.2086930005753,qwen7b-npu3=6;qwen7b-npu4=23;qwen7b-npu5=25;qwen7b-npu6=23;qwen7b-npu7=21
