second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
73,246,1.0,129.2596678249538,150.20962804555893,157.99035876989365,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=61;qwen15b-npu6=61;qwen15b-npu7=58
74,245,1.0,130.6392578408122,151.2410151772201,157.97493886202574,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
75,242,1.0,127.51536723226309,149.14721995592117,159.09983683377504,qwen15b-npu3=6;qwen15b-npu4=58;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=60
76,249,1.0,130.3269760683179,149.7316351160407,154.4145350344479,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=61;qwen15b-npu6=61;qwen15b-npu7=60
77,246,1.0,128.76781495288014,149.2235609330237,153.19383796304464,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=59;qwen15b-npu6=59;qwen15b-npu7=62
78,250,1.0,128.34798218682408,147.11195696145296,152.70070498809218,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=63;qwen15b-npu6=61;qwen15b-npu7=59
79,244,1.0,129.3628099374473,148.168183863163,155.02925962209702,qwen15b-npu3=6;qwen15b-npu4=60;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=58
80,245,1.0,129.73127188161016,151.81725891306996,171.35988781228662,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=59;qwen15b-npu6=58;qwen15b-npu7=61
81,244,1.0,130.03953266888857,148.713868111372,155.02351988106966,qwen15b-npu3=7;qwen15b-npu4=58;qwen15b-npu5=59;qwen15b-npu6=61;qwen15b-npu7=59
82,242,1.0,128.96258616819978,156.94058313965797,165.05367634817958,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=57;qwen15b-npu7=58
83,246,1.0,128.34408320486546,154.26506428048015,157.06408396363258,qwen15b-npu3=6;qwen15b-npu4=59;qwen15b-npu5=57;qwen15b-npu6=63;qwen15b-npu7=61
84,240,1.0,130.48129715025425,153.34167890250683,163.4980859234929,qwen15b-npu3=7;qwen15b-npu4=56;qwen15b-npu5=63;qwen15b-npu6=56;qwen15b-npu7=58
85,245,1.0,129.902932792902,152.8298850171268,163.38708577677608,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=58;qwen15b-npu6=60;qwen15b-npu7=60
86,245,1.0,130.2839950658381,151.3760951347649,157.3887849226594,qwen15b-npu3=6;qwen15b-npu4=61;qwen15b-npu5=60;qwen15b-npu6=60;qwen15b-npu7=58
