second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
66,243,1.0,128.24339186772704,157.7614676207304,162.81383205205202,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=49
67,243,1.0,129.58833016455173,159.09273736178875,164.7611246444285,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
68,243,1.0,129.19311923906207,156.47778008133173,165.2078479528427,qwen15b-npu3=44;qwen15b-npu4=50;qwen15b-npu5=50;qwen15b-npu6=50;qwen15b-npu7=49
69,239,1.0,131.21336186304688,175.85969809442759,284.3605289235711,qwen15b-npu3=52;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=47
70,241,1.0,131.59288419410586,154.8857381567359,158.83887512609363,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
71,243,1.0,129.20850794762373,156.52777906507254,161.36588202789426,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
72,244,1.0,129.13651717826724,153.48109928891063,160.5041860602796,qwen15b-npu3=48;qwen15b-npu4=50;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
73,240,1.0,132.1544381789863,162.34273929148912,170.5402829684317,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
74,247,1.0,128.7418850697577,154.9621499143541,163.09242323040962,qwen15b-npu3=50;qwen15b-npu4=49;qwen15b-npu5=50;qwen15b-npu6=49;qwen15b-npu7=49
75,243,1.0,130.44548593461514,159.65618006885052,168.35718788206577,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=50
76,242,1.0,129.45718970149755,159.2402379028499,173.16694976761937,qwen15b-npu3=47;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=48
77,232,1.0,130.96346892416477,167.6955739967525,299.1913282312453,qwen15b-npu3=49;qwen15b-npu4=47;qwen15b-npu5=46;qwen15b-npu6=45;qwen15b-npu7=45
78,245,1.0,130.46510703861713,155.9575260616839,162.90164180099964,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=50;qwen15b-npu7=49
79,250,1.0,129.54777106642723,151.24877402558923,158.17240113392472,qwen15b-npu3=50;qwen15b-npu4=50;qwen15b-npu5=51;qwen15b-npu6=49;qwen15b-npu7=50
80,243,1.0,131.52260379865766,162.45599882677197,174.12474704906344,qwen15b-npu3=49;qwen15b-npu4=49;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=49
81,239,1.0,131.40312302857637,161.6968042217195,170.58378318324685,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=48
82,240,1.0,131.1840219423175,157.01590292155743,174.64781971648335,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=48
83,241,1.0,133.37276596575975,156.62633068859577,160.34928523004055,qwen15b-npu3=48;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=49;qwen15b-npu7=48
84,241,1.0,129.15861792862415,161.77475405856967,170.46849289909005,qwen15b-npu3=46;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=48;qwen15b-npu7=49
85,234,1.0,128.14141111448407,204.31474689394236,302.12725698947906,qwen15b-npu3=48;qwen15b-npu4=47;qwen15b-npu5=47;qwen15b-npu6=46;qwen15b-npu7=46
86,244,1.0,129.6112108975649,161.9379362091422,169.8057479225099,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=49;qwen15b-npu6=49;qwen15b-npu7=49
87,239,1.0,131.35828217491508,159.71324127167463,165.3220378793776,qwen15b-npu3=47;qwen15b-npu4=48;qwen15b-npu5=48;qwen15b-npu6=48;qwen15b-npu7=48
88,242,1.0,130.8291987515986,157.93093899264932,165.58125987648964,qwen15b-npu3=48;qwen15b-npu4=49;qwen15b-npu5=49;qwen15b-npu6=47;qwen15b-npu7=49
89,241,1.0,131.81403512135148,155.39563307538629,161.08848992735147,qwen15b-npu3=49;qwen15b-npu4=48;qwen15b-npu5=47;qwen15b-npu6=49;qwen15b-npu7=48
90,6,1.0,143.6173841357231,151.0075726546347,151.0075726546347,qwen15b-npu3=2;qwen15b-npu4=1;qwen15b-npu5=1;qwen15b-npu6=2
