second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
108,11,1.0,7356.748957652599,7599.720621947199,7599.720621947199,isolated-npu5=4;isolated-npu6=4;isolated-npu7=3
109,11,1.0,7407.940357923508,7631.5484726801515,7631.5484726801515,isolated-npu5=3;isolated-npu6=4;isolated-npu7=4
110,19,1.0,7398.459184914827,7651.049273088574,7651.049273088574,isolated-npu5=7;isolated-npu6=5;isolated-npu7=7
111,13,1.0,6562.1983599849045,7663.973278831691,7663.973278831691,isolated-npu5=8;isolated-npu6=2;isolated-npu7=3
112,19,1.0,7446.203512139618,7686.524449381977,7686.524449381977,isolated-npu5=3;isolated-npu6=8;isolated-npu7=8
113,10,1.0,7437.869087327272,7675.543695688248,7675.543695688248,isolated-npu5=3;isolated-npu6=5;isolated-npu7=2
114,11,1.0,7409.008846152574,7662.9663817584515,7662.9663817584515,isolated-npu5=5;isolated-npu6=2;isolated-npu7=4
115,13,1.0,7376.208797097206,7631.781404837966,7631.781404837966,isolated-npu5=4;isolated-npu6=4;isolated-npu7=5
116,13,1.0,7303.939078003168,7642.608587164432,7642.608587164432,isolated-npu5=5;isolated-npu6=5;isolated-npu7=3
117,16,1.0,7259.406071621925,7511.492487043142,7511.492487043142,isolated-npu5=3;isolated-npu6=7;isolated-npu7=6
118,6,1.0,7156.658759340644,7416.279423981905,7416.279423981905,isolated-npu6=3;isolated-npu7=3
