timestamp,backend_id,requests_total,ttft_avg_ms,tpot_avg_ms,queue_time_avg_ms,e2e_latency_avg_ms,router_phase,router_capacity,router_effective_weight,router_desired_weight,router_inflight
2026-06-27T02:35:02.917448,qwen15b-npu3,247724.0,85.00225261481518,28.255155022916682,0.03128378744475939,152.87539140510637,active,10,9.868432706894277,9.759795545413542,9
2026-06-27T02:35:02.930034,qwen15b-npu4,257052.0,75.10929338486424,25.34968554183646,0.022969550640260492,125.77369556100516,active,10,9.8542995401397,9.766661126576679,6
2026-06-27T02:35:02.943943,qwen15b-npu5,3866.0,69.00881210017315,26.27392772156496,0.0141477936591498,1040.2171222442919,active,10,9.839302485277388,9.764735190909564,4
2026-06-27T02:35:02.957718,qwen15b-npu6,135875.0,81.19917862198172,28.642927216690023,0.015662855461589225,166.69157455538,active,10,9.871105540311769,9.762109869966478,8
2026-06-27T02:35:02.970383,qwen15b-npu7,135978.0,77.29780321204395,27.761209435746295,0.015707284438571677,160.13774743864914,active,10,9.868328059462991,9.7577400229302,5
2026-06-27T02:35:03.989846,qwen15b-npu3,247779.0,84.99969449779432,28.25499863197199,0.031280219712768335,152.870194482558,active,10,9.824971481381208,9.694587804842001,8
2026-06-27T02:35:04.004625,qwen15b-npu4,257104.0,75.10716554846893,25.34936179846923,0.022967661797093752,125.7708518960538,active,10,9.83272768953114,9.768012137705464,5
2026-06-27T02:35:04.017075,qwen15b-npu5,3919.0,68.9615002393905,26.272504026936335,0.014148657071079136,1027.686163939047,active,10,9.828810663742914,9.797335199139493,6
2026-06-27T02:35:04.031906,qwen15b-npu6,135928.0,81.19661986677005,28.64266735911936,0.01566299682149893,166.67681930432204,active,10,9.85085332035603,9.790096660488812,6
2026-06-27T02:35:04.044598,qwen15b-npu7,136032.0,77.29765853091594,27.76145542315374,0.01570757364550645,160.12771627197176,active,10,9.832860956561282,9.726459647856153,7
2026-06-27T02:35:05.063996,qwen15b-npu3,247832.0,84.99783966315717,28.255025951466443,0.03127700906229884,152.86597953109847,active,10,9.800396710028338,9.726672395969727,8
2026-06-27T02:35:05.078409,qwen15b-npu4,257156.0,75.10538622172537,25.349103887988765,0.022966014826923443,125.76864718671408,active,10,9.815665640679278,9.764479494123693,4
2026-06-27T02:35:05.100853,qwen15b-npu5,3972.0,68.92716500454199,26.271056238954884,0.014136243987761886,1015.2779034360233,active,10,9.805139929022975,9.734127724863153,5
2026-06-27T02:35:05.115802,qwen15b-npu6,135980.0,81.19409043467348,28.64240707702797,0.015663023575545137,166.6627816824018,active,10,9.835646563815217,9.790026294192778,7
2026-06-27T02:35:05.129620,qwen15b-npu7,136086.0,77.29755721549068,27.761601516569787,0.015707569017730818,160.11782012669275,active,10,9.806086593782162,9.725763505444803,8
2026-06-27T02:35:06.145581,qwen15b-npu3,247884.0,84.9962226715986,28.25506040473348,0.03127331119947301,152.86191209272212,active,10,9.775904435775104,9.757741534608366,7
2026-06-27T02:35:06.159063,qwen15b-npu4,257210.0,75.10348054586944,25.348827716404188,0.022964238891961617,125.76618173556886,active,10,9.794088369412894,9.766906487369164,7
2026-06-27T02:35:06.177224,qwen15b-npu5,4025.0,68.91696847003439,26.26956665493355,0.014130581745651342,1004.0997299084287,active,10,9.783612637536727,9.70265036886985,4
2026-06-27T02:35:06.197455,qwen15b-npu6,136032.0,81.19220891277304,28.642168538102933,0.01566356451689765,166.64927085164732,active,10,9.807387953454846,9.757254575326304,7
2026-06-27T02:35:06.213312,qwen15b-npu7,136138.0,77.29639561698292,27.76136948802739,0.015707370623889598,160.10534967457778,active,10,9.773850495927123,9.759516887319514,7
2026-06-27T02:35:07.230608,qwen15b-npu3,247938.0,84.9941326315262,28.254995722107655,0.031269688155876746,152.85716008512273,active,10,9.771643466115483,9.758860557136623,6
