second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
98,242,1.0,133.47256695851684,153.39552098885179,162.55812300369143,qwen15b-npu3=59;qwen15b-npu4=63;qwen15b-npu6=57;qwen15b-npu7=63
99,241,1.0,130.73686882853508,148.9625619724393,151.70500008389354,qwen15b-npu3=61;qwen15b-npu4=59;qwen15b-npu6=61;qwen15b-npu7=60
100,248,1.0,128.71587509289384,145.26509726420045,150.91682504862547,qwen15b-npu3=63;qwen15b-npu4=62;qwen15b-npu6=63;qwen15b-npu7=60
101,235,1.0,137.9356370307505,158.9465788565576,166.60434007644653,qwen15b-npu3=58;qwen15b-npu4=59;qwen15b-npu6=58;qwen15b-npu7=60
102,246,1.0,134.0910610742867,151.58363012596965,156.6552841104567,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=62;qwen15b-npu7=61
103,238,1.0,133.25794599950314,150.74362326413393,154.78950086981058,qwen15b-npu3=59;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=60
104,243,1.0,131.8161659874022,148.39458791539073,152.61810598894954,qwen15b-npu3=63;qwen15b-npu4=61;qwen15b-npu6=60;qwen15b-npu7=59
105,238,1.0,134.52850515022874,149.95237812399864,160.58814991265535,qwen15b-npu3=58;qwen15b-npu4=62;qwen15b-npu6=58;qwen15b-npu7=60
106,243,1.0,134.79594700038433,153.34183117374778,158.54934602975845,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=62;qwen15b-npu7=62
107,237,1.0,136.06538530439138,150.08472884073853,153.84142380207777,qwen15b-npu3=62;qwen15b-npu4=59;qwen15b-npu6=57;qwen15b-npu7=59
108,235,1.0,135.7960826717317,156.19467990472913,169.89480191841722,qwen15b-npu3=58;qwen15b-npu4=58;qwen15b-npu6=61;qwen15b-npu7=58
109,246,1.0,132.20745883882046,147.01821794733405,152.52902498468757,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=63
110,240,1.0,135.67221211269498,151.4193480834365,156.13032039254904,qwen15b-npu3=60;qwen15b-npu4=61;qwen15b-npu6=61;qwen15b-npu7=58
111,235,1.0,137.71675620228052,152.60476572439075,156.66615311056376,qwen15b-npu3=59;qwen15b-npu4=59;qwen15b-npu6=58;qwen15b-npu7=59
112,243,1.0,134.9849277175963,155.40529415011406,170.71419768035412,qwen15b-npu3=59;qwen15b-npu4=59;qwen15b-npu6=63;qwen15b-npu7=62
113,240,1.0,135.6298620812595,147.91036397218704,153.25781097635627,qwen15b-npu3=62;qwen15b-npu4=64;qwen15b-npu6=58;qwen15b-npu7=56
114,243,1.0,135.16346784308553,150.61321295797825,155.54604586213827,qwen15b-npu3=61;qwen15b-npu4=58;qwen15b-npu6=60;qwen15b-npu7=64
115,239,1.0,133.76805977895856,150.89122531935573,153.11937918886542,qwen15b-npu3=59;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=60
116,245,1.0,131.10298058018088,147.14394882321358,152.79394714161754,qwen15b-npu3=63;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=60
117,238,1.0,136.12083531916142,154.93654180318117,165.75071355327964,qwen15b-npu3=58;qwen15b-npu4=60;qwen15b-npu6=60;qwen15b-npu7=60
118,237,1.0,135.39355993270874,148.3065872453153,152.62695588171482,qwen15b-npu3=60;qwen15b-npu4=59;qwen15b-npu6=60;qwen15b-npu7=58
119,241,1.0,134.01529099792242,155.42942518368363,159.21947034075856,qwen15b-npu3=59;qwen15b-npu4=62;qwen15b-npu6=59;qwen15b-npu7=61
120,233,1.0,137.5807849690318,152.78083691373467,163.66086015477777,qwen15b-npu3=59;qwen15b-npu4=58;qwen15b-npu6=58;qwen15b-npu7=58
121,249,1.0,135.58103190734982,148.21734698489308,152.50112488865852,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=63;qwen15b-npu7=63
122,239,1.0,133.8554797694087,148.25936732813716,151.92425064742565,qwen15b-npu3=60;qwen15b-npu4=58;qwen15b-npu6=59;qwen15b-npu7=62
123,242,1.0,135.3884101845324,151.0137147270143,157.81190106645226,qwen15b-npu3=61;qwen15b-npu4=62;qwen15b-npu6=60;qwen15b-npu7=59
