experiment_id,scheduler,source_file,window,total_requests,total_errors,error_rate_pct,qps,p50_ms,p95_ms,p99_ms,target_backend,target_share_pct,expected_share_pct,absolute_share_error_pct,max_target_running,max_target_waiting,max_target_kv_cache_usage,max_target_remote_utilization,max_target_queue_depth,max_target_router_kv_cache_usage,backend_distribution,main_conclusion,notes
exp5,p2c_smooth_wrr,exp5-pool-isolation/exp5-real-isolated.csv,all,1592,0,0.0,13.41,7386.15,9365.28,11692.68,,,,,,,,,,,isolated-npu5=534(33.54%);isolated-npu6=529(33.23%);isolated-npu7=529(33.23%),isolated 池 noisy-neighbor 负载运行在真实 NPU5/6/7,isolated 池使用 NPU5/6/7
exp6,p2c_smooth_wrr,exp6-comprehensive/exp6-real-comprehensive.csv,all,50003,7,0.014,238.1,131.3,150.64,159.28,,,,,,,,,,,qwen15b-npu3=4825(9.65%);qwen15b-npu4=13414(26.83%);qwen15b-npu5=4999(10.0%);qwen15b-npu6=13373(26.74%);qwen15b-npu7=13392(26.78%),组合动态 capacity、热点、故障和恢复的综合场景,演示场景；报告中使用时应结合分窗口 CSV 解读
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,pre_0_20,4877,0,0.0,243.85,130.37,151.22,163.79,qwen15b-npu3,20.01,20.0,0.01,,,,,,,qwen15b-npu3=976(20.01%);qwen15b-npu4=975(19.99%);qwen15b-npu5=976(20.01%);qwen15b-npu6=974(19.97%);qwen15b-npu7=976(20.01%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,transition_down_20_30,2456,0,0.0,245.6,129.58,148.72,156.75,qwen15b-npu3,12.26,2.44,9.82,,,,,,,qwen15b-npu3=301(12.26%);qwen15b-npu4=541(22.03%);qwen15b-npu5=539(21.95%);qwen15b-npu6=538(21.91%);qwen15b-npu7=537(21.86%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,stable_down_30_50,4941,0,0.0,247.05,128.13,149.4,156.65,qwen15b-npu3,4.7,2.44,2.26,,,,,,,qwen15b-npu3=232(4.7%);qwen15b-npu4=1178(23.84%);qwen15b-npu5=1180(23.88%);qwen15b-npu6=1174(23.76%);qwen15b-npu7=1177(23.82%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,transition_up_50_65,3715,0,0.0,247.67,127.75,149.76,158.06,qwen15b-npu3,5.76,,,,,,,,,qwen15b-npu3=214(5.76%);qwen15b-npu4=877(23.61%);qwen15b-npu5=876(23.58%);qwen15b-npu6=873(23.5%);qwen15b-npu7=875(23.55%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,stable_up_65_80,3690,0,0.0,246.0,129.0,151.24,159.01,qwen15b-npu3,16.02,20.0,3.98,,,,,,,qwen15b-npu3=591(16.02%);qwen15b-npu4=777(21.06%);qwen15b-npu5=777(21.06%);qwen15b-npu6=772(20.92%);qwen15b-npu7=773(20.95%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.1,exp7-smoothstep/exp7-real-ss0.1.csv,all,19681,0,0.0,245.96,128.98,150.15,158.36,qwen15b-npu3,11.76,,,,,,,,,qwen15b-npu3=2315(11.76%);qwen15b-npu4=4348(22.09%);qwen15b-npu5=4348(22.09%);qwen15b-npu6=4332(22.01%);qwen15b-npu7=4338(22.04%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,pre_0_20,4946,0,0.0,247.3,128.84,149.54,157.66,qwen15b-npu3,19.96,20.0,0.04,,,,,,,qwen15b-npu3=987(19.96%);qwen15b-npu4=991(20.04%);qwen15b-npu5=993(20.08%);qwen15b-npu6=987(19.96%);qwen15b-npu7=988(19.98%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,transition_down_20_30,2462,0,0.0,246.2,128.68,149.89,158.24,qwen15b-npu3,6.05,2.44,3.61,,,,,,,qwen15b-npu3=149(6.05%);qwen15b-npu4=581(23.6%);qwen15b-npu5=578(23.48%);qwen15b-npu6=577(23.44%);qwen15b-npu7=577(23.44%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,stable_down_30_50,4939,0,0.0,246.95,127.86,151.43,159.57,qwen15b-npu3,2.31,2.44,0.13,,,,,,,qwen15b-npu3=114(2.31%);qwen15b-npu4=1208(24.46%);qwen15b-npu5=1209(24.48%);qwen15b-npu6=1201(24.32%);qwen15b-npu7=1207(24.44%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,transition_up_50_65,3722,0,0.0,248.13,127.78,148.82,154.59,qwen15b-npu3,7.66,,,,,,,,,qwen15b-npu3=285(7.66%);qwen15b-npu4=861(23.13%);qwen15b-npu5=861(23.13%);qwen15b-npu6=858(23.05%);qwen15b-npu7=857(23.03%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,stable_up_65_80,3701,0,0.0,246.73,129.07,149.15,156.81,qwen15b-npu3,19.18,20.0,0.82,,,,,,,qwen15b-npu3=710(19.18%);qwen15b-npu4=747(20.18%);qwen15b-npu5=749(20.24%);qwen15b-npu6=746(20.16%);qwen15b-npu7=749(20.24%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.25,exp7-smoothstep/exp7-real-ss0.25.csv,all,19771,0,0.0,247.13,128.41,149.87,157.78,qwen15b-npu3,11.36,,,,,,,,,qwen15b-npu3=2245(11.36%);qwen15b-npu4=4388(22.19%);qwen15b-npu5=4390(22.2%);qwen15b-npu6=4370(22.1%);qwen15b-npu7=4378(22.14%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,pre_0_20,4932,0,0.0,246.6,129.63,148.87,157.12,qwen15b-npu3,19.97,20.0,0.03,,,,,,,qwen15b-npu3=985(19.97%);qwen15b-npu4=991(20.09%);qwen15b-npu5=988(20.03%);qwen15b-npu6=983(19.93%);qwen15b-npu7=985(19.97%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,transition_down_20_30,2472,0,0.0,247.2,128.0,151.07,157.73,qwen15b-npu3,2.39,2.44,0.05,,,,,,,qwen15b-npu3=59(2.39%);qwen15b-npu4=604(24.43%);qwen15b-npu5=604(24.43%);qwen15b-npu6=602(24.35%);qwen15b-npu7=603(24.39%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,stable_down_30_50,4934,0,0.0,246.7,127.86,151.9,159.56,qwen15b-npu3,2.31,2.44,0.13,,,,,,,qwen15b-npu3=114(2.31%);qwen15b-npu4=1207(24.46%);qwen15b-npu5=1210(24.52%);qwen15b-npu6=1200(24.32%);qwen15b-npu7=1203(24.38%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,transition_up_50_65,3715,0,0.0,247.67,127.61,150.08,156.88,qwen15b-npu3,9.13,,,,,,,,,qwen15b-npu3=339(9.13%);qwen15b-npu4=843(22.69%);qwen15b-npu5=848(22.83%);qwen15b-npu6=842(22.66%);qwen15b-npu7=843(22.69%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,stable_up_65_80,3674,0,0.0,244.93,130.11,150.37,158.59,qwen15b-npu3,19.84,20.0,0.16,,,,,,,qwen15b-npu3=729(19.84%);qwen15b-npu4=738(20.09%);qwen15b-npu5=735(20.01%);qwen15b-npu6=737(20.06%);qwen15b-npu7=735(20.01%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=0.5,exp7-smoothstep/exp7-real-ss0.5.csv,all,19730,0,0.0,246.54,128.75,150.42,158.26,qwen15b-npu3,11.29,,,,,,,,,qwen15b-npu3=2227(11.29%);qwen15b-npu4=4383(22.21%);qwen15b-npu5=4385(22.23%);qwen15b-npu6=4365(22.12%);qwen15b-npu7=4370(22.15%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,pre_0_20,4927,0,0.0,246.35,129.66,149.96,159.39,qwen15b-npu3,19.89,20.0,0.11,,,,,,,qwen15b-npu3=980(19.89%);qwen15b-npu4=989(20.07%);qwen15b-npu5=989(20.07%);qwen15b-npu6=985(19.99%);qwen15b-npu7=984(19.97%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,transition_down_20_30,2490,0,0.0,249.0,127.38,146.17,151.9,qwen15b-npu3,2.45,2.44,0.01,,,,,,,qwen15b-npu3=61(2.45%);qwen15b-npu4=608(24.42%);qwen15b-npu5=609(24.46%);qwen15b-npu6=603(24.22%);qwen15b-npu7=609(24.46%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,stable_down_30_50,4935,0,0.0,246.75,128.42,149.84,158.72,qwen15b-npu3,2.49,2.44,0.05,,,,,,,qwen15b-npu3=123(2.49%);qwen15b-npu4=1203(24.38%);qwen15b-npu5=1205(24.42%);qwen15b-npu6=1202(24.36%);qwen15b-npu7=1202(24.36%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,transition_up_50_65,3709,0,0.0,247.27,128.83,147.73,154.34,qwen15b-npu3,10.22,,,,,,,,,qwen15b-npu3=379(10.22%);qwen15b-npu4=836(22.54%);qwen15b-npu5=835(22.51%);qwen15b-npu6=829(22.35%);qwen15b-npu7=830(22.38%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,stable_up_65_80,3723,0,0.0,248.2,128.12,147.75,157.16,qwen15b-npu3,19.93,20.0,0.07,,,,,,,qwen15b-npu3=742(19.93%);qwen15b-npu4=745(20.01%);qwen15b-npu5=744(19.98%);qwen15b-npu6=746(20.04%);qwen15b-npu7=746(20.04%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
exp7,smooth_step=1.0,exp7-smoothstep/exp7-real-ss1.0.csv,all,19789,0,0.0,247.29,128.62,148.7,157.17,qwen15b-npu3,11.56,,,,,,,,,qwen15b-npu3=2287(11.56%);qwen15b-npu4=4381(22.14%);qwen15b-npu5=4382(22.14%);qwen15b-npu6=4367(22.07%);qwen15b-npu7=4372(22.09%),五个真实后端上的 smoothStep 敏感性,目标后端 qwen15b-npu3
